step,state,carrier_position,offset,amplitude,valid,balance_error,dominance_ratio,action,reason,frequency_hz
0,probe,0.0,0.19,1.2,True,0.266,28.119840948655195,offset,试探Offset响应方向,1.0
1,center,0.0,0.14500000000000002,1.2,True,0.31599999999999995,26.82633702463731,offset,正向试探变差，改为反向调节,1.0
2,center,0.0,0.13,1.2,True,0.242,28.135900252452256,offset,修正00模峰间隔不均匀,1.0
3,center,0.0,0.115,1.2,True,0.21799999999999997,28.135900252452256,offset,修正00模峰间隔不均匀,1.0
4,center,0.0,0.1,1.2,True,0.19200000000000017,29.5764198030487,offset,修正00模峰间隔不均匀,1.0
5,center,0.0,0.085,1.2,True,0.16600000000000015,29.525832996087956,offset,修正00模峰间隔不均匀,1.0
6,center,0.0,0.07,1.2,True,0.14200000000000035,29.525832996087956,offset,修正00模峰间隔不均匀,1.0
7,center,0.0,0.05500000000000001,1.2,True,0.11799999999999988,29.525832996087956,offset,修正00模峰间隔不均匀,1.0
8,center,0.0,0.04000000000000001,1.2,True,0.09200000000000029,29.525832996087956,offset,修正00模峰间隔不均匀,1.0
9,center,0.0,0.02500000000000001,1.2,True,0.06599999999999984,29.525832996087956,offset,修正00模峰间隔不均匀,1.0
10,center,0.0,0.010000000000000009,1.2,True,0.042478760619690706,29.525832996087956,offset,修正00模峰间隔不均匀,1.0
11,center,0.0,0.010000000000000009,1.2,True,0.017999999999999794,29.525832996087956,none,峰间隔稳定确认 1/3,1.0
12,center,0.0,0.010000000000000009,1.2,True,0.017999999999999794,29.525832996087956,none,峰间隔稳定确认 2/3,1.0
13,verify_shrink,0.0,0.010000000000000009,0.8999999999999999,True,0.017999999999999794,29.525832996087956,amplitude,00模已居中，缩小Scan Amplitude,1.0
14,probe,0.0,0.02500000000000001,0.8999999999999999,True,0.022488755622188977,29.121138540402,offset,试探Offset响应方向,1.0
15,center,0.0,0.002500000000000009,0.8999999999999999,True,0.05600000000000005,29.05368946445434,offset,正向试探变差，改为反向调节,1.0
16,center,0.0,0.002500000000000009,0.8999999999999999,True,0.003999999999999893,29.138000809388913,none,峰间隔稳定确认 1/3,1.0
17,center,0.0,0.002500000000000009,0.8999999999999999,True,0.003999999999999893,29.138000809388913,none,峰间隔稳定确认 2/3,1.0
18,verify_shrink,0.0,0.002500000000000009,0.6749999999999999,True,0.003999999999999893,29.138000809388913,amplitude,00模已居中，缩小Scan Amplitude,1.0
19,probe,0.0,0.010000000000000009,0.6749999999999999,True,0.006496751624187966,21.308911771612433,offset,试探Offset响应方向,1.0
20,center,0.0,-0.0012499999999999907,0.6749999999999999,True,0.028485757121439696,22.19334018200874,offset,正向试探变差，改为反向调节,1.0
21,center,0.0,-0.0012499999999999907,0.6749999999999999,True,0.004995004995004556,22.19334018200874,none,峰间隔稳定确认 1/3,1.0
22,center,0.0,-0.0012499999999999907,0.6749999999999999,True,0.004995004995004556,22.19334018200874,none,峰间隔稳定确认 2/3,1.0
23,verify_shrink,0.0,-0.0012499999999999907,0.50625,True,0.004995004995004556,22.19334018200874,amplitude,00模已居中，缩小Scan Amplitude,1.0
24,probe,0.0,0.002500000000000009,0.50625,True,0.005497251374312351,36.52789019290436,offset,试探Offset响应方向,1.0
25,center,0.0,-0.0049999999999999906,0.50625,True,0.010000000000000455,36.44357884796978,offset,正向试探变差，改为反向调节,1.0
26,center,0.0,-0.0012499999999999907,0.50625,True,0.021999999999999797,36.506812356670714,offset,修正00模峰间隔不均匀,1.0
27,center,0.0,-0.0012499999999999907,0.50625,True,0.005497251374312351,36.52789019290436,none,峰间隔稳定确认 1/3,1.0
28,center,0.0,-0.0012499999999999907,0.50625,True,0.005497251374312351,36.52789019290436,none,峰间隔稳定确认 2/3,1.0
29,verify_shrink,0.0,-0.0012499999999999907,0.37968749999999996,True,0.005497251374312351,36.52789019290436,amplitude,00模已居中，缩小Scan Amplitude,1.0
30,probe,0.0,0.002500000000000009,0.37968749999999996,True,0.005999999999999563,15.784957357195319,offset,试探Offset响应方向,1.0
31,center,0.0,-0.0049999999999999906,0.37968749999999996,True,0.015999999999999903,15.531766666851459,offset,正向试探变差，改为反向调节,1.0
32,center,0.0,-0.0012499999999999907,0.37968749999999996,True,0.026973026973027156,15.784957357195319,offset,修正00模峰间隔不均匀,1.0
33,center,0.0,-0.0012499999999999907,0.37968749999999996,True,0.005999999999999563,15.784957357195319,none,峰间隔稳定确认 1/3,1.0
34,center,0.0,-0.0012499999999999907,0.37968749999999996,True,0.005999999999999563,15.784957357195319,none,峰间隔稳定确认 2/3,1.0
35,verify_shrink,0.0,-0.0012499999999999907,0.28476562499999997,True,0.005999999999999563,15.784957357195319,amplitude,00模已居中，缩小Scan Amplitude,1.0
36,probe,0.0,0.002500000000000009,0.28476562499999997,True,0.007999999999999896,8.591727531428058,offset,试探Offset响应方向,1.0
37,center,0.0,-0.0049999999999999906,0.28476562499999997,True,0.02253380070105165,8.58637443016237,offset,正向试探变差，改为反向调节,1.0
38,center,0.0,-0.0012499999999999907,0.28476562499999997,True,0.03651825912956487,8.597080632693746,offset,修正00模峰间隔不均匀,1.0
39,center,0.0,-0.0012499999999999907,0.28476562499999997,True,0.007999999999999896,8.591727531428058,none,峰间隔稳定确认 1/3,1.0
40,center,0.0,-0.0012499999999999907,0.28476562499999997,True,0.007999999999999896,8.591727531428058,none,峰间隔稳定确认 2/3,1.0
41,verify_shrink,0.0,-0.0012499999999999907,0.21357421875,True,0.007999999999999896,8.591727531428058,amplitude,00模已居中，缩小Scan Amplitude,1.0
42,local_recover,0.0,0.00942871093750001,0.21357421875,False,1.0,0.0,offset,未找到足够的00模穿越峰；在当前小幅度下左右试探Offset,1.0
43,local_recover,0.0,-0.011928710937499991,0.21357421875,False,1.0,0.0,offset,未找到足够的00模穿越峰；在当前小幅度下左右试探Offset,1.0
44,local_recover,0.0,0.02010742187500001,0.21357421875,False,1.0,0.0,offset,未找到足够的00模穿越峰；在当前小幅度下左右试探Offset,1.0
45,local_recover,0.0,-0.02260742187499999,0.21357421875,False,1.0,0.0,offset,未找到足够的00模穿越峰；在当前小幅度下左右试探Offset,1.0
46,restore_amplitude,0.0,-0.02260742187499999,0.32036132812499996,False,1.0,0.0,amplitude,小范围Offset试探失败，恢复可靠Scan Amplitude,1.0
47,refine,0.0,-0.02260742187499999,0.24916992187499998,True,0.14000000000000057,10.554174455429008,amplitude,二分验证最小可靠Scan Amplitude,1.0
48,refine,0.0,-0.02260742187499999,0.23137207031249998,True,0.18518518518518523,6.306082281371541,amplitude,二分验证最小可靠Scan Amplitude,1.0
49,restore_amplitude,0.0,-0.02260742187499999,0.24916992187499998,False,1.0,0.0,amplitude,二分试验幅度不可靠，恢复上一个可靠Amplitude,1.0
50,refine,0.0,-0.02260742187499999,0.24027099609374997,True,0.18518518518518523,6.306082281371541,amplitude,二分验证最小可靠Scan Amplitude,1.0
51,restore_amplitude,0.0,-0.02260742187499999,0.24916992187499998,False,1.0,0.0,amplitude,二分试验幅度不可靠，恢复上一个可靠Amplitude,1.0
52,track,0.0,-0.02260742187499999,0.24916992187499998,True,0.18518518518518523,6.306082281371541,none,进入最小可靠幅度保持,1.0
53,track,0.0,-0.02260742187499999,0.24916992187499998,True,0.18518518518518523,6.306082281371541,none,保持状态首次超差，等待复核,1.0
54,center,0.0,-0.02635742187499999,0.24916992187499998,True,0.18518518518518523,6.306082281371541,offset,修正00模峰间隔不均匀,1.0
55,center,0.0,-0.02260742187499999,0.24916992187499998,True,0.2098147220831245,6.157703874751034,offset,修正00模峰间隔不均匀,1.0
56,center,0.0,-0.018857421874999992,0.24916992187499998,True,0.18518518518518523,6.306082281371541,offset,修正00模峰间隔不均匀,1.0
57,center,0.0,-0.015107421874999992,0.24916992187499998,True,0.15200000000000008,6.4659515399206935,offset,修正00模峰间隔不均匀,1.0
58,center,0.0,-0.011357421874999992,0.24916992187499998,True,0.12400000000000005,6.5837085453312945,offset,修正00模峰间隔不均匀,1.0
59,center,0.0,-0.007607421874999992,0.24916992187499998,True,0.09200000000000053,6.625377586757441,offset,修正00模峰间隔不均匀,1.0
